범죄대분류,범죄중분류,불취학,초등학교(재중),초등학교(중퇴),초등학교(졸업),중학교(재중),중학교(중퇴),중학교(졸업),고등학교(재중),고등학교(중퇴),고등학교(졸업),대학(4년미만)(재중),대학(4년미만)(중퇴),대학(4년미만)(졸업),대학(4년이상)(재중),대학(4년이상)(중퇴),대학(4년이상)(졸업),대학원(재중),대학원(중퇴),대학원(졸업),기타,미상
강력범죄,살인기수,7,0,7,26,0,18,30,8,18,86,1,2,11,4,6,24,0,1,4,4,87
강력범죄,살인미수등,7,0,22,48,1,24,62,2,41,186,2,3,15,7,11,27,0,2,4,12,85
강력범죄,강도,4,0,20,43,18,68,105,84,152,505,2,8,34,24,50,91,3,3,8,41,193
강력범죄,강간,21,0,39,145,89,104,247,310,261,1331,43,58,217,283,167,511,30,12,74,85,1916
강력범죄,유사강간,5,0,6,21,33,16,40,55,31,166,5,5,27,52,20,56,1,3,7,9,136
강력범죄,강제추행,113,4,214,778,225,299,899,471,399,4778,81,113,975,796,481,3078,130,48,576,277,3537
강력범죄,기타 강간 강제추행등,3,0,3,15,8,7,28,53,24,108,0,4,14,9,12,33,1,0,6,2,41
강력범죄,방화,18,0,36,118,39,30,112,57,75,395,0,13,46,18,17,79,3,4,8,23,195
절도범죄,절도범죄,2182,58,2433,7052,6155,2894,7829,8392,5434,29256,490,564,3637,2856,2241,8475,358,159,933,1226,13071
폭력범죄,상해,549,6,775,3229,498,1372,4969,1555,2569,22540,257,377,2918,1452,1562,6046,173,123,777,696,6408
폭력범죄,폭행,1061,5,1345,5631,871,2382,9346,2632,4622,45171,435,591,5410,2528,3223,13368,378,265,1965,1639,107877
폭력범죄,체포감금,6,0,12,31,20,29,89,44,80,500,5,13,42,24,45,169,4,5,22,18,753
폭력범죄,협박,96,0,201,687,63,346,1088,165,549,4913,35,53,623,183,366,1612,29,22,201,177,5190
폭력범죄,약취유인,2,0,2,6,1,5,16,8,11,66,2,2,9,8,5,35,0,0,9,2,96
폭력범죄,폭력행위등,90,12,116,639,1733,587,1842,3326,1960,11848,326,217,1256,1358,819,2592,132,53,254,329,7158
폭력범죄,공갈,3,0,15,56,265,66,170,418,263,800,13,13,71,46,62,209,6,2,26,32,1037
폭력범죄,손괴,347,2,455,1647,118,730,2548,378,1183,11993,115,146,1585,679,908,4089,131,88,625,432,6701
지능범죄,직무유기,0,0,0,0,0,0,0,0,0,15,0,0,17,0,1,78,0,0,8,0,544
지능범죄,직권남용,1,0,0,0,0,0,0,0,0,34,0,0,13,1,5,62,0,0,15,4,544
지능범죄,증수뢰,0,0,3,26,0,8,15,0,7,291,1,1,70,3,14,313,3,2,95,3,273
지능범죄,통화,1,0,6,1,5,3,8,7,6,75,1,0,5,2,2,6,1,2,1,1,398
지능범죄,문서인장,29,2,40,285,66,132,457,1030,391,2683,24,37,391,203,300,1358,33,29,226,75,8127
지능범죄,유가증권인지,1,0,1,6,1,1,10,1,5,66,0,1,8,1,2,30,0,0,4,1,191
지능범죄,사기,375,6,629,3261,582,2149,7709,2129,5757,49199,310,846,5376,2230,4777,13954,344,367,2000,1353,105129
지능범죄,횡령,262,2,336,1201,176,450,1461,745,715,7642,62,110,1149,517,625,3088,78,45,527,225,14164
지능범죄,배임,8,0,8,91,0,28,138,0,50,1123,3,16,199,13,70,902,10,9,170,25,4943
풍속범죄,성풍속범죄,46,1,73,241,279,115,431,839,252,3282,91,99,784,902,391,2066,93,30,236,143,1652
풍속범죄,도박범죄,238,0,268,1756,4,528,2608,47,798,10058,28,160,1172,297,594,2118,19,24,154,318,2546
특별경제범죄,특별경제범죄,365,4,536,2421,55,1040,4084,214,1764,23664,98,329,3114,1046,1708,7531,141,104,1159,727,22348
마약범죄,마약범죄,270,0,149,574,1,360,911,17,489,2796,8,46,212,110,279,717,24,16,98,126,1309
보건범죄,보건범죄,162,0,171,957,0,204,1289,8,301,5976,11,46,1007,111,379,3918,53,26,847,139,3525
환경범죄,환경범죄,21,0,48,246,2,64,389,2,86,1494,2,13,275,12,84,812,2,10,145,22,649
교통범죄,교통범죄,1512,20,2215,12807,857,3499,19998,4507,6474,144942,572,989,21246,5454,7048,62322,1120,401,5703,7370,175496
노동범죄,노동범죄,21,0,45,320,0,55,369,1,114,2307,1,17,329,15,86,595,4,5,53,46,581
안보범죄,안보범죄,0,0,2,2,1,2,7,4,11,99,1,0,8,2,9,52,1,1,3,2,44
선거범죄,선거범죄,17,0,18,42,0,13,32,2,13,212,1,3,39,15,23,140,3,1,47,3,163
병역범죄,병역범죄,0,0,3,29,0,84,790,2,763,7266,63,170,710,642,1387,1373,89,82,111,152,858
기타범죄,기타범죄,1533,13,2072,10890,656,3703,17130,3177,6820,87335,544,1052,12200,4458,5831,31623,754,514,4977,2625,74923
