범죄대분류,범죄중분류,자영업(농.임.수산업),자영업(광업),자영업(제조업),자영업(건설업),자영업(도.소매업),자영업(무역업),자영업(요식업),자영업(숙박업),자영업(유흥업),자영업(금융업),자영업(부동산업),자영업(의료보건업),자영업(차량정비업),자영업(노점),자영업(행상),자영업(기타사업),피고용자(교원(사립)),피고용자(사무원),피고용자(기술자),피고용자(점원),피고용자(공원),피고용자(운전사),피고용자(경비원),피고용자(외판원),피고용자(국공영기업체직원),피고용자(일반회사원),피고용자(금융기관직원),피고용자(유흥업종사자),피고용자(요식업종사자),피고용자(일용노동자),피고용자(기타피고용자),전문직(의사),전문직(변호사),전문직(교수),전문직(종교가),전문직(언론인),전문직(예술인),전문직(기타전문직),공무원,기타(학생),기타(주부),기타(전경.의경),기타(공익요원),기타(기타),무직자,미상
강력범죄,살인기수,6,0,1,4,0,1,0,0,1,0,0,0,0,1,0,22,1,0,5,0,4,12,0,0,0,27,0,0,4,23,31,0,0,0,1,0,0,8,1,3,15,0,0,6,180,22
강력범죄,살인미수등,17,0,3,10,2,0,3,1,1,0,2,0,0,1,1,29,0,0,5,0,9,20,6,0,0,45,0,1,7,75,60,0,0,0,6,0,0,5,2,9,9,0,1,22,241,23
강력범죄,강도,13,0,0,10,4,6,2,0,15,1,2,0,2,1,0,87,0,2,6,1,8,20,1,6,0,95,0,17,9,85,94,0,2,0,2,0,1,12,2,195,8,0,4,65,835,103
강력범죄,강간,95,0,15,66,14,10,39,9,27,3,33,4,9,9,1,528,6,7,58,17,33,159,11,28,3,904,6,50,58,270,395,16,1,7,27,0,28,137,35,885,2,5,15,325,1236,243
강력범죄,유사강간,7,0,4,10,2,0,1,0,6,0,4,0,0,0,0,35,0,0,4,0,3,16,3,1,2,89,1,1,8,31,42,3,0,0,2,0,1,16,3,121,1,0,2,29,130,20
강력범죄,강제추행,224,0,60,169,48,15,120,17,41,10,87,6,14,15,0,1560,51,36,185,42,85,485,116,53,17,3015,36,41,190,709,1072,97,8,26,70,10,69,531,290,1616,23,14,41,795,3330,577
강력범죄,기타 강간 강제추행등,17,0,3,4,2,0,8,0,2,0,0,0,2,1,0,31,2,0,4,3,4,11,3,1,0,40,0,3,5,30,49,2,0,0,5,0,0,11,2,102,0,0,3,26,124,21
강력범죄,방화,44,0,4,27,3,1,8,2,4,1,1,0,3,3,0,107,0,2,14,3,3,51,2,0,1,112,0,3,9,103,64,0,2,0,6,0,2,12,5,145,31,0,2,67,501,48
절도범죄,절도범죄,1498,9,180,947,243,48,385,72,218,24,199,27,89,159,49,5891,33,107,592,282,297,1883,410,262,5,9401,43,261,881,4128,7182,41,3,23,191,20,166,1632,183,21018,3109,6,143,4113,34197,5765
폭력범죄,상해,2282,14,249,1349,240,70,830,119,479,39,396,26,110,225,20,8288,59,103,834,126,324,2738,363,215,21,9991,45,308,598,4300,5027,72,10,28,199,51,133,1290,317,3931,1301,4,115,3170,13811,1475
폭력범죄,폭행,3562,20,734,4669,599,209,2092,266,1243,79,1153,85,306,590,28,30853,160,378,2748,454,576,9675,1221,784,59,36429,187,762,1983,11275,15918,299,26,113,490,106,573,4517,992,11516,5345,12,362,10581,44932,7896
폭력범죄,체포 감금,27,0,6,38,6,3,9,6,16,0,15,1,4,1,1,234,0,1,20,0,2,85,15,16,1,208,2,9,11,52,100,18,0,3,19,1,4,33,26,97,30,0,2,115,384,66
폭력범죄,협박,455,1,55,359,60,16,168,22,53,12,104,5,26,42,1,2192,19,24,247,26,42,949,76,42,5,2671,14,29,141,1004,1117,43,4,20,52,19,32,338,120,520,295,1,26,938,3852,588
폭력범죄,약취 유인,10,0,2,1,2,0,1,0,2,1,3,0,0,1,0,29,0,1,1,0,0,9,1,1,0,39,0,2,2,13,15,1,0,0,0,0,1,9,1,9,15,0,1,11,107,14
폭력범죄,폭력행위등,494,3,96,623,122,36,313,34,233,16,202,21,42,63,3,3991,24,63,369,81,175,777,117,140,11,6652,27,183,331,1626,2819,29,2,20,179,51,84,738,122,7471,799,2,103,1940,8575,1161
폭력범죄,공갈,48,1,9,70,10,3,18,10,28,3,23,0,0,7,1,313,1,8,17,7,3,106,8,5,0,260,0,16,10,139,209,4,4,2,22,89,8,52,9,685,38,0,13,155,1049,175
폭력범죄,손괴,1180,6,131,1051,107,45,244,59,103,14,232,17,74,77,3,4493,36,58,486,49,80,1079,210,103,8,5543,28,58,302,2074,2461,56,5,28,127,14,85,632,197,1487,626,1,48,1690,7884,1704
지능범죄,직무유기,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,4,2,0,0,0,0,6,0,1,20,1,0,0,0,2,9,0,0,0,0,0,3,525,4,0,0,0,30,14,5
지능범죄,직권남용,1,0,3,1,0,0,0,0,0,0,0,1,0,1,0,12,1,0,0,0,0,1,0,0,0,5,0,0,0,0,3,0,1,5,1,0,0,7,509,0,1,0,0,12,9,3
지능범죄,증수뢰,20,1,17,41,8,3,2,1,0,9,4,0,1,1,0,140,3,5,3,1,0,5,3,0,13,94,3,0,0,5,22,3,0,1,2,6,0,25,204,0,2,0,0,58,66,16
지능범죄,통화,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,1,0,4,0,0,0,4,0,1,0,0,8,0,0,0,1,0,1,1,0,29,1,0,0,11,103,42
지능범죄,문서 인장,397,2,66,635,80,35,121,14,35,25,215,14,28,12,0,2338,28,97,52,57,40,140,31,55,7,1798,61,47,98,458,1055,94,49,32,134,11,28,464,472,1661,420,1,10,1750,3474,1383
지능범죄,유가증권인지,4,0,8,34,0,4,0,1,0,0,5,0,0,0,0,85,0,0,1,1,1,0,2,0,0,33,0,0,1,2,20,0,0,0,2,0,0,7,1,0,6,0,1,39,75,40
지능범죄,사기,2846,50,1363,9492,1077,588,1266,212,597,230,2272,112,237,200,18,29207,64,399,1192,546,296,2766,324,893,26,21652,139,597,1856,9231,15397,631,118,82,766,94,400,4445,396,7731,4434,4,350,20381,55862,22371
지능범죄,횡령,679,9,312,1011,169,71,193,36,60,33,283,36,49,42,2,4875,18,113,191,104,58,1219,174,127,10,3902,60,57,229,1293,2632,69,35,38,177,18,70,752,180,1652,719,4,29,3269,7851,2673
지능범죄,배임,218,0,94,276,31,16,25,9,10,30,121,5,5,3,1,1295,13,27,10,8,6,189,19,18,19,1109,64,5,24,78,365,14,29,29,58,5,9,182,129,22,177,0,1,892,1301,667
풍속범죄,성풍속범죄,54,0,22,59,15,14,38,11,38,2,27,6,19,7,0,698,5,14,85,37,47,181,86,33,4,2246,10,31,107,350,737,13,0,5,13,4,48,244,94,2064,20,2,52,619,2480,566
풍속범죄,도박범죄,1183,5,136,652,107,24,367,42,166,11,223,14,52,38,1,5401,9,38,335,45,96,1910,104,144,5,5405,13,86,306,1590,2668,19,0,0,18,7,25,457,113,740,1094,0,43,1706,7292,1252
특별경제범죄,특별경제범죄,925,2,595,1356,820,100,548,69,807,371,390,39,99,290,7,12967,70,146,627,163,153,1776,250,267,25,9666,122,177,591,3758,5063,163,22,74,277,48,210,1689,425,1959,1672,3,74,6022,17037,5755
마약범죄,마약범죄,540,0,15,99,16,13,36,7,62,4,44,14,3,28,1,791,1,8,53,5,150,132,12,21,0,564,3,73,47,400,376,105,0,2,26,1,53,231,7,102,143,0,6,314,3272,663
보건범죄,보건범죄,426,0,176,32,404,41,1311,262,627,3,12,227,1,263,3,5932,2,63,42,66,2,67,8,100,0,1142,1,291,146,91,1455,1701,3,7,42,1,38,1653,21,82,302,0,1,2523,1718,361
환경범죄,환경범죄,252,10,301,280,30,4,6,10,39,1,4,1,18,3,0,1078,1,0,16,0,0,44,3,0,1,630,1,44,5,42,328,12,0,0,4,4,2,22,12,12,17,0,1,326,208,30
교통범죄,교통범죄,20865,28,1778,8568,1421,285,3308,174,364,284,1771,168,668,701,48,63232,697,945,4605,432,889,54083,1590,2408,103,159328,641,229,3389,25713,44098,1089,96,331,1336,222,964,15672,5380,15159,18113,25,386,26393,57990,9383
노동범죄,노동범죄,51,0,52,136,12,1,27,2,79,0,6,8,8,3,0,699,1,20,38,10,14,100,24,32,0,1161,1,79,67,291,544,7,0,1,7,4,3,189,3,14,255,0,1,632,1155,123
