,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타 강간 강제추행등,방화,절도범죄,상해,폭행,체포 감금,협박,약취 유인,폭력행위등,공갈,손괴,직무유기,직권남용,증수뢰,통화,문서 인장,유가증권인지,사기,횡령,배임,성풍속범죄,도박범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄,기타강간강제추행등,절도,체포감금,약취유인,문서인장,강간강제추행,기타,sort
생활정도(하류),236,384,1412,2325.0,247.0,6752.0,363.0,1059,64243.0,35833,60979,432.0,3494,116.0,39148,1346,17294,28,11,129,81,5840.0,105,84091,12564,1225,5961,18004,41581,4508,9600,1196,235633,1482,70,269,12282,108959.0,,,,,,,,
생활정도(중류),69,135,412,1750.0,178.0,5597.0,208.0,322,29898.0,20727,35234,278.0,2272,42.0,22299,698,9434,136,79,429,23,3848.0,55,28513,7018,1566,4281,9212,18628,1569,6847,1378,149757,648,71,552,5104,70794.0,,,,,,,,
생활정도(상류),6,5,20,68.0,3.0,249.0,6.0,10,738.0,626,1141,18.0,93,5.0,504,41,383,4,1,57,0,166.0,6,863,297,142,96,215,683,125,1351,185,3165,36,3,92,71,3223.0,,,,,,,,
혼인관계(유배우자),122,175,325,964.0,96.0,5021.0,120.0,501,25367.0,27441,48750,288.0,2894,56.0,22686,601,12099,157,80,527,28,4404.0,96,45499,9961,2351,2700,17249,28170,2328,11402,2237,238439,1439,55,830,1997,96754.0,,,,,,,,
혼인관계(동거),18,27,38,90.0,12.0,223.0,15.0,81,1397.0,1848,4129,27.0,259,3.0,1584,43,905,1,1,33,3,175.0,5,2398,397,66,146,465,1014,251,334,66,4734,28,7,23,216,3431.0,,,,,,,,
혼인관계(이혼),59,115,166,451.0,44.0,1148.0,56.0,228,8198.0,6590,10104,127.0,940,24.0,4987,233,3424,1,1,30,5,1038.0,26,16554,2366,221,639,3477,7503,1039,2477,197,24391,234,10,21,348,20961.0,,,,,,,,
혼인관계(사별),12,20,13,43.0,3.0,219.0,10.0,38,2524.0,1337,1775,11.0,99,3.0,714,28,619,0,0,9,2,391.0,7,1908,440,48,59,697,1125,355,678,53,4410,30,0,23,18,4466.0,,,,,,,,
"미혼자부모관계(실부모,계부모)",178,249,1457,4073.0,380.0,7877.0,485.0,669,65680.0,24843,127550,773.0,5005,166.0,43031,2025,14702,701,505,243,248,13014.0,265,161846,22781,5547,8373,7278,52544,2940,5830,623,277400,664,102,224,15662,116135.0,,,,,,,,
"아파트,연립다세대",95,90,138,882.0,68.0,902.0,,261,,3373,7373,,620,,2171,312,2810,7,5,0,3,,0,9817,775,243,1006,341,1885,357,278,5,105,10,6,101,1725,9563.0,234.0,14333.0,93.0,22.0,256.0,,,
단독주택,95,102,182,954.0,63.0,790.0,,321,,3265,6344,,757,,2347,339,2771,13,9,2,6,,4,17487,800,159,1265,913,3093,891,290,26,34,12,9,76,4789,10863.0,280.0,19515.0,86.0,21.0,398.0,,,
고속도로,0,3,2,0.0,0.0,11.0,,1,,48,111,,3,,79,3,23,0,0,1,4,,0,86,42,1,2,0,19,7,5,1,2578,0,0,0,0,1078.0,0.0,177.0,6.0,0.0,14.0,,,
노상,59,126,423,249.0,30.0,3324.0,,210,,18320,52278,,894,,13843,987,22966,46,53,21,87,,13,10727,6188,86,2271,197,4256,1307,750,245,562472,76,7,358,723,32824.0,48.0,49527.0,227.0,66.0,519.0,,,
백화점,0,0,0,0.0,0.0,9.0,,2,,33,80,,8,,8,2,8,0,1,0,1,,0,164,136,4,17,0,99,1,3,0,1,0,0,1,1,67.0,0.0,1828.0,0.0,0.0,6.0,,,
슈퍼마켓,1,0,26,0.0,0.0,66.0,,4,,110,285,,13,,54,19,110,0,1,0,61,,2,409,233,4,52,5,447,1,142,0,3,1,1,1,0,650.0,2.0,4718.0,3.0,1.0,33.0,,,
편의점,1,1,154,4.0,0.0,158.0,,1,,218,936,,39,,155,61,207,1,1,0,75,,3,1223,405,2,55,3,1105,5,10,0,1,4,0,1,1,1267.0,3.0,4579.0,1.0,0.0,183.0,,,
대형할인매장,0,0,1,0.0,0.0,13.0,,2,,28,37,,6,,6,2,14,0,0,0,4,,0,117,47,1,93,0,129,0,18,0,1,0,0,0,0,88.0,0.0,1966.0,0.0,0.0,75.0,,,
상점,2,3,36,32.0,2.0,175.0,,18,,471,975,,68,,318,81,633,0,3,0,82,,6,5958,1014,80,171,253,2391,41,2008,29,38,4,1,19,43,3297.0,9.0,9520.0,6.0,2.0,584.0,,,
